stock_code,description,category,sub_category,product_key
,,Furniture,Bookcases,1
,,Furniture,Chairs,2
,,Office Supplies,Labels,3
,,Furniture,Tables,4
,,Office Supplies,Storage,5
,,Furniture,Furnishings,6
,,Office Supplies,Art,7
,,Technology,Phones,8
,,Office Supplies,Binders,9
,,Office Supplies,Appliances,10
,,Office Supplies,Paper,11
,,Technology,Accessories,12
,,Office Supplies,Envelopes,13
,,Office Supplies,Fasteners,14
,,Office Supplies,Supplies,15
,,Technology,Machines,16
,,Technology,Copiers,17
85123A,WHITE HANGING HEART T-LIGHT HOLDER,Uncategorized,Uncategorized,18
71053,WHITE METAL LANTERN,Uncategorized,Uncategorized,19
84406B,CREAM CUPID HEARTS COAT HANGER,Uncategorized,Uncategorized,20
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,Uncategorized,Uncategorized,21
84029E,RED WOOLLY HOTTIE WHITE HEART.,Uncategorized,Uncategorized,22
22752,SET 7 BABUSHKA NESTING BOXES,Uncategorized,Uncategorized,23
21730,GLASS STAR FROSTED T-LIGHT HOLDER,Uncategorized,Uncategorized,24
22633,HAND WARMER UNION JACK,Uncategorized,Uncategorized,25
22632,HAND WARMER RED POLKA DOT,Uncategorized,Uncategorized,26
84879,ASSORTED COLOUR BIRD ORNAMENT,Uncategorized,Uncategorized,27
22745,POPPY'S PLAYHOUSE BEDROOM,Uncategorized,Uncategorized,28
22748,POPPY'S PLAYHOUSE KITCHEN,Uncategorized,Uncategorized,29
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,Uncategorized,Uncategorized,30
22310,IVORY KNITTED MUG COSY,Uncategorized,Uncategorized,31
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,Uncategorized,Uncategorized,32
22623,BOX OF VINTAGE JIGSAW BLOCKS,Uncategorized,Uncategorized,33
22622,BOX OF VINTAGE ALPHABET BLOCKS,Uncategorized,Uncategorized,34
21754,HOME BUILDING BLOCK WORD,Uncategorized,Uncategorized,35
21755,LOVE BUILDING BLOCK WORD,Uncategorized,Uncategorized,36
21777,RECIPE BOX WITH METAL HEART,Uncategorized,Uncategorized,37
48187,DOORMAT NEW ENGLAND,Uncategorized,Uncategorized,38
22960,JAM MAKING SET WITH JARS,Uncategorized,Uncategorized,39
22913,RED COAT RACK PARIS FASHION,Uncategorized,Uncategorized,40
22912,YELLOW COAT RACK PARIS FASHION,Uncategorized,Uncategorized,41
22914,BLUE COAT RACK PARIS FASHION,Uncategorized,Uncategorized,42
21756,BATH BUILDING BLOCK WORD,Uncategorized,Uncategorized,43
22728,ALARM CLOCK BAKELIKE PINK,Uncategorized,Uncategorized,44
22727,ALARM CLOCK BAKELIKE RED,Uncategorized,Uncategorized,45
22726,ALARM CLOCK BAKELIKE GREEN,Uncategorized,Uncategorized,46
21724,PANDA AND BUNNIES STICKER SHEET,Uncategorized,Uncategorized,47
21883,STARS GIFT TAPE,Uncategorized,Uncategorized,48
10002,INFLATABLE POLITICAL GLOBE,Uncategorized,Uncategorized,49
21791,VINTAGE HEADS AND TAILS CARD GAME,Uncategorized,Uncategorized,50
21035,SET/2 RED RETROSPOT TEA TOWELS,Uncategorized,Uncategorized,51
22326,ROUND SNACK BOXES SET OF4 WOODLAND,Uncategorized,Uncategorized,52
22629,SPACEBOY LUNCH BOX,Uncategorized,Uncategorized,53
22659,LUNCH BOX I LOVE LONDON,Uncategorized,Uncategorized,54
22631,CIRCUS PARADE LUNCH BOX,Uncategorized,Uncategorized,55
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,Uncategorized,Uncategorized,56
21731,RED TOADSTOOL LED NIGHT LIGHT,Uncategorized,Uncategorized,57
22900,SET 2 TEA TOWELS I LOVE LONDON,Uncategorized,Uncategorized,58
21913,VINTAGE SEASIDE JIGSAW PUZZLES,Uncategorized,Uncategorized,59
22540,MINI JIGSAW CIRCUS PARADE,Uncategorized,Uncategorized,60
22544,MINI JIGSAW SPACEBOY,Uncategorized,Uncategorized,61
22492,MINI PAINT SET VINTAGE,Uncategorized,Uncategorized,62
POST,POSTAGE,Uncategorized,Uncategorized,63
22086,PAPER CHAIN KIT 50'S CHRISTMAS,Uncategorized,Uncategorized,64
20679,EDWARDIAN PARASOL RED,Uncategorized,Uncategorized,65
37370,RETRO COFFEE MUGS ASSORTED,Uncategorized,Uncategorized,66
21871,SAVE THE PLANET MUG,Uncategorized,Uncategorized,67
21071,VINTAGE BILLBOARD DRINK ME MUG,Uncategorized,Uncategorized,68
21068,VINTAGE BILLBOARD LOVE/HATE MUG,Uncategorized,Uncategorized,69
82483,WOOD 2 DRAWER CABINET WHITE FINISH,Uncategorized,Uncategorized,70
82486,WOOD S/3 CABINET ANT WHITE FINISH,Uncategorized,Uncategorized,71
82482,WOODEN PICTURE FRAME WHITE FINISH,Uncategorized,Uncategorized,72
82494L,WOODEN FRAME ANTIQUE WHITE,Uncategorized,Uncategorized,73
21258,VICTORIAN SEWING BOX LARGE,Uncategorized,Uncategorized,74
22114,HOT WATER BOTTLE TEA AND SYMPATHY,Uncategorized,Uncategorized,75
21733,RED HANGING HEART T-LIGHT HOLDER,Uncategorized,Uncategorized,76
