ds,yhat,yhat_lower,yhat_upper
2010-12-01,591848.3052131155,319489.74606375326,865498.5378845074
2011-01-01,630550.8173574433,319894.2957551075,881543.1286622155
2011-02-01,669253.3293554822,398312.1464038232,961494.4262999251
2011-03-01,704210.4370988905,435431.3040120217,990942.3444110779
2011-04-01,742912.9494205673,457195.9521173671,1030063.2426545444
2011-05-01,780366.9935063644,497800.9200310817,1063925.315627676
2011-06-01,819069.5057197922,553238.8198790755,1092120.8915421318
2011-07-01,856523.5499771616,568133.3887273083,1138579.7214048526
2011-08-01,895226.0623383514,636478.2627682446,1174653.5835078473
2011-09-01,933928.5747687828,639401.6851389804,1211232.3956271054
2011-10-01,971382.6190693612,702446.145677701,1261681.171199686
2011-11-01,1010085.1315132923,764432.3309458252,1291653.8596212736
2011-12-01,1047539.1758138707,748945.7617004485,1330337.858029413
2011-12-31,1084993.2201144495,800767.8161270159,1358797.4646220321
2012-01-31,1123695.7325583806,867970.0251835551,1412795.918251416
2012-02-29,1159901.3087156063,866628.1003199203,1435652.9301635204
2012-03-31,1198603.8211595374,908223.4622557797,1483002.8627790087
2012-04-30,1236057.8654601162,960787.4652394856,1517463.8234194582
2012-05-31,1274760.377904047,1013046.2974332487,1546231.0028192876
